season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
22/23;Fernando Gorriaran;28;9000000;Santos Laguna;Tigres UANL;12200000
22/23;Xaver Schlager;24;27000000;VfL Wolfsburg;RB Leipzig;12000000
22/23;Thilo Kehrer;25;22000000;Paris SG;West Ham;12000000
22/23;Nordi Mukiele;24;20000000;RB Leipzig;Paris SG;12000000
22/23;Danny Ings;30;16000000;Aston Villa;West Ham;12000000
22/23;Pierre-Emerick Aubameyang;33;15000000;Barcelona;Chelsea;12000000
22/23;Marcao;26;14000000;Galatasaray;Sevilla FC;12000000
22/23;Maximilian Wober;24;12000000;RB Salzburg;Leeds;12000000
22/23;Pau Lopez;27;12000000;AS Roma;Marseille;12000000
22/23;Chris Richards;22;7500000;Bayern Munich;Crystal Palace;12000000
22/23;Stanley Nsoki;23;7000000;Club Brugge;TSG Hoffenheim;12000000
22/23;David Datro Fofana;20;7000000;Molde FK;Chelsea;12000000
22/23;Marc Roca;25;7000000;Bayern Munich;Leeds;12000000
22/23;Naouirou Ahamada;20;5500000;VfB Stuttgart;Crystal Palace;12000000
22/23;Agustin Alvarez;21;4000000;Penarol;Sassuolo;12000000
22/23;Alexis Beka Beka;21;3000000;Loko Moscow;OGC Nice;12000000
22/23;Marcus Tavernier;23;4500000;Middlesbrough;Bournemouth;11900000
22/23;Neal Maupay;26;18000000;Brighton;Everton;11800000
22/23;Julio Enciso;18;11000000;Libertad;Brighton;11600000
22/23;Nick Pope;30;15000000;Burnley;Newcastle;11500000
22/23;Khvicha Kvaratskhelia;21;15000000;Dinamo Batumi;SSC Napoli;11500000
22/23;Youssouf Ndayishimiye;24;7000000;Basaksehir;OGC Nice;11500000
22/23;Jorginho;31;35000000;Chelsea;Arsenal;11300000
22/23;Joao Felix;23;50000000;Atletico Madrid;Chelsea;11000000
22/23;Matteo Guendouzi;23;25000000;Arsenal;Marseille;11000000
22/23;Jordan Veretout;29;17000000;AS Roma;Marseille;11000000
22/23;Momo Cho;18;15000000;Angers SCO;Real Sociedad;11000000
22/23;Armel Bella-Kotchap;20;10000000;VfL Bochum;Southampton;11000000
22/23;Maximo Perrone;20;8500000;Velez Sarsfield;Man City;11000000
22/23;Jean-Victor Makengo;24;7500000;Udinese Calcio;FC Lorient;11000000
22/23;Mario Lemina;29;7000000;OGC Nice;Wolves;11000000
22/23;Amin Sarr;21;3500000;Heerenveen;Olympique Lyon;11000000
22/23;Lyle Foster;22;2000000;KVC Westerlo;Burnley;11000000
22/23;Flynn Downes;23;2000000;Swansea;West Ham;10650000
22/23;Giovanni Simeone;27;17000000;Cagliari Calcio;Hellas Verona;10500000
22/23;Gabriel Sara;23;6500000;Sao Paulo;Norwich;10500000
22/23;James Garner;21;7000000;Man Utd U21;Everton;10400000
22/23;Luis Maximiano;23;12000000;Granada CF;Lazio;10260000
22/23;Gabriel Veron;19;12000000;Palmeiras;FC Porto;10250000
22/23;Antoine Semenyo;23;3000000;Bristol City;Bournemouth;10250000
22/23;Nicolas Ibanez;28;7500000;Pachuca;Tigres UANL;10100000
22/23;Moussa Niakhate;26;18000000;1.FSV Mainz 05;Nottm Forest;10000000
22/23;Jerry St. Juste;25;16000000;1.FSV Mainz 05;Sporting CP;10000000
22/23;Willian Jose;30;12000000;Real Sociedad;Real Betis;10000000
22/23;Owen Wijndal;22;12000000;AZ Alkmaar;Ajax;10000000
22/23;Jakub Kaminski;20;10000000;Lech Poznan;VfL Wolfsburg;10000000
22/23;Borja Mayoral;25;9000000;Real Madrid;Getafe;10000000
22/23;Luis Suarez;24;9000000;Granada CF;Marseille;10000000
22/23;Junya Ito;29;7500000;KRC Genk;Stade Reims;10000000
22/23;Armand Lauriente;23;7000000;FC Lorient;Sassuolo;10000000
22/23;Ruben Vinagre;23;5000000;Wolves;Sporting CP;10000000
22/23;Kristian Thorstvedt;23;5000000;KRC Genk;Sassuolo;10000000
22/23;Giulian Biancone;22;4000000;Troyes;Nottm Forest;10000000
22/23;Jeffinho;23;1500000;Botafogo;Olympique Lyon;10000000
22/23;Lois Openda;22;7500000;Club Brugge;Lens;9800000
22/23;Cucho Hernandez;23;9000000;Watford;Columbus;9550000
22/23;Evander;24;9000000;FC Midtjylland;Portland;9500000
22/23;Jose Manuel Lopez;21;8000000;Lanus;Palmeiras;9500000
22/23;Joao Victor;23;8000000;Corinthians;Benfica;9500000
22/23;Andreas Pereira;26;7500000;Man Utd;Fulham;9500000
22/23;Raphael Onyedika;21;5000000;FC Midtjylland;Club Brugge;9500000
22/23;Ahmetcan Kaplan;19;2800000;Trabzonspor;Ajax;9500000
22/23;Lewis O'Brien;23;3500000;Huddersfield;Nottm Forest;9400000
22/23;Alphonse Areola;29;8000000;Paris SG;West Ham;9300000
22/23;Ademola Lookman;24;10000000;RB Leipzig;Atalanta BC;9200000
22/23;Sasa Lukic;26;13000000;Torino;Fulham;9100000
22/23;Brandon Soppy;20;5000000;Udinese Calcio;Atalanta BC;9100000
22/23;Gabriel Slonina;18;3000000;Chicago;Chelsea;9090000
22/23;Remo Freuler;30;20000000;Atalanta BC;Nottm Forest;9000000
22/23;Mattias Svanberg;23;15000000;Bologna;VfL Wolfsburg;9000000
22/23;Marko Grujic;26;12000000;Liverpool;FC Porto;9000000
22/23;Andreas Schjelderup;18;9000000;Nordsjaelland;Benfica;9000000
22/23;Jonas Omlin;29;7000000;Montpellier;Bor. M'gladbach;9000000
22/23;Perr Schuurs;22;7000000;Ajax;Torino;9000000
22/23;Christopher Wooh;20;3000000;Lens;Rennes;9000000
22/23;Andrea Colpani;23;2400000;Atalanta BC;Monza;9000000
22/23;Andrea Cambiaso;22;5000000;Genoa;Juventus;8800000
22/23;Pedro Porro;22;25000000;Man City;Sporting CP;8770000
22/23;Josip Juranovic;27;9000000;Celtic;Union Berlin;8550000
22/23;Antonin Barak;28;12000000;Hellas Verona;Fiorentina;8500000
22/23;Samuele Ricci;20;12000000;FC Empoli;Torino;8500000
22/23;Joshua Zirkzee;21;11000000;Bayern Munich;Bologna;8500000
22/23;Guglielmo Vicario;25;10000000;Cagliari Calcio;FC Empoli;8500000
22/23;Ritsu Doan;24;8000000;PSV Eindhoven;SC Freiburg;8500000
22/23;Omar Richards;24;7000000;Bayern Munich;Nottm Forest;8500000
22/23;Julien Duranville;16;5000000;RSC Anderlecht;Bor. Dortmund;8500000
22/23;Cengiz Under;24;22000000;AS Roma;Marseille;8400000
22/23;Billy Gilmour;21;12000000;Chelsea;Brighton;8330000
22/23;Rolando Mandragora;25;10000000;Juventus;Fiorentina;8199999
22/23;Jens Petter Hauge;22;8000000;AC Milan;E. Frankfurt;8199999
22/23;Vedat Muriqi;28;7000000;Lazio;RCD Mallorca;8020000
22/23;Raul de Tomas;27;25000000;Espanyol;Rayo Vallecano;8000000
22/23;Arkadiusz Milik;28;16000000;SSC Napoli;Marseille;8000000
22/23;Duje Caleta-Car;25;16000000;Marseille;Southampton;8000000
22/23;Azzedine Ounahi;22;15000000;Angers SCO;Marseille;8000000
22/23;Luiz Henrique;21;12000000;Fluminense;Real Betis;8000000
22/23;Matheus Henrique;24;11000000;Gremio;Sassuolo;8000000
22/23;Artur;25;10000000;RB Bragantino;Palmeiras;8000000
22/23;Geronimo Rulli;30;10000000;Villarreal;Ajax;8000000
22/23;Jhon Lucumi;24;9000000;KRC Genk;Bologna;8000000
22/23;Cesar Montes;25;7000000;Monterrey;Espanyol;8000000
22/23;Alexander Bah;24;7000000;Slavia Prague;Benfica;8000000
22/23;El Bilal Toure;20;6500000;Stade Reims;UD Almeria;8000000
22/23;Ismael Kone;20;6000000;Montreal;Watford;8000000
22/23;Yann Sommer;34;5000000;Bor. M'gladbach;Bayern Munich;8000000
